user_index,tsne_1,tsne_2,cluster
32452,110.37536,15.309146,3
212660,-73.437874,50.44109,2
177987,-34.711685,22.610975,2
279840,-90.48024,-70.07301,2
237137,-57.284534,-50.326397,2
74772,28.209858,20.723305,1
146199,-30.681168,44.776947,2
14477,81.809235,42.93745,3
112248,26.496119,-45.60598,1
216460,-52.780735,3.0097215,2
207884,-37.689503,-7.284354,1
91903,17.37857,17.991854,1
269805,-96.45565,-20.726145,2
251206,-80.52812,61.878933,2
213170,-50.61897,3.981996,2
282459,-114.64747,-21.657393,2
276958,-73.02253,-83.62335,2
211089,-11.076395,42.21624,2
41846,64.91602,-27.76578,1
228096,-57.930553,-44.707882,2
313292,-86.18421,-70.85153,2
153564,-11.396111,-36.014618,1
256119,-97.134834,-23.402113,2
275731,-74.19382,-85.83095,2
149152,32.070595,-80.39015,1
237530,-43.385456,-37.80266,2
129446,63.635376,-74.21839,1
109445,17.343033,-12.839902,1
92391,29.262997,60.671432,1
284150,-31.230043,122.34513,2
255161,12.709424,111.09097,0
210780,-54.622433,58.84525,2
15366,55.52626,37.408306,3
77914,65.02851,-38.943657,1
255560,-51.190067,48.441154,2
140053,4.7930913,61.720146,1
200492,-49.111572,15.661204,2
46882,34.868397,85.73128,4
129438,83.05156,-56.204945,1
88094,27.350658,26.029222,1
300716,-31.36093,122.821625,2
7119,26.579037,41.479458,5
37159,29.642632,82.555954,4
241113,-57.144184,-32.721195,2
58950,66.22368,1.0156105,3
280201,-132.89781,32.56202,2
295139,-49.484825,-84.39102,2
137708,31.004372,93.80719,4
314853,-95.68057,70.88832,2
151875,18.574099,-102.59755,1
283142,-122.65833,21.53219,2
266830,-73.649124,-37.119793,2
66238,23.268517,-13.850931,1
78549,63.029697,-37.88077,1
67430,64.1691,-13.392459,1
100053,4.7438073,-0.009615093,1
105226,32.645935,-55.652657,1
45387,66.43375,58.6358,3
167021,9.538956,89.161064,4
190883,-49.49874,30.936583,2
157834,-8.122883,-45.375103,1
176765,-33.822815,-40.13733,2
83890,90.41016,-57.65943,1
163917,-7.2400436,-73.16299,1
296356,-65.85182,-97.302925,2
1653,70.48095,76.04414,5
95862,65.11495,-72.69682,1
256331,-85.20233,-24.267202,2
70695,18.024208,-14.10368,1
145513,8.261749,-21.31064,1
248766,-81.52049,-14.493061,2
16988,97.790504,52.697536,3
238122,-92.57103,13.132881,2
230170,-72.07433,11.124728,2
182575,-47.31153,18.297943,2
137507,44.2041,-94.37963,1
185366,-10.164874,21.137117,1
34430,22.30041,7.8162527,1
306820,-110.28008,5.3727016,2
53117,104.146805,-5.950912,3
288162,-105.92744,-89.95896,2
221057,-74.812065,0.57660186,2
62017,61.047558,-19.807383,1
92156,53.383114,-49.7701,1
210652,-66.967224,5.675643,2
216991,-23.66083,73.71201,2
251512,-88.2654,-38.459717,2
211375,-34.730247,46.559025,2
136006,-6.542073,-36.837013,1
303601,-48.759758,-84.5812,2
235451,-51.000393,-48.307186,2
38358,31.98272,82.10262,4
12319,58.244534,38.647015,3
210144,-34.420547,-73.53144,2
139725,9.08846,48.54244,1
230909,4.1279287,110.882866,2
249551,-73.187195,-54.37481,2
242844,-51.730145,31.475965,2
291930,12.414147,113.82278,0
260965,-63.01291,45.251842,2
110481,5.857379,-7.066954,1
169238,-17.58083,31.021933,2
295678,-52.4789,-104.70355,2
111055,23.475155,-71.13214,1
86266,17.630114,21.053387,1
288883,-0.94740283,94.2495,2
111535,79.14392,-39.45219,1
74289,116.542816,10.324635,3
73029,60.822865,-34.627266,1
216775,-47.064743,-12.946549,2
4462,83.68486,67.16535,5
259421,-86.11978,-33.942135,2
161447,-16.715235,4.338388,2
98084,9.9218645,29.813238,1
286711,-136.75456,53.77933,2
160650,-10.140827,3.1973295,2
99252,-4.6567936,-5.118292,2
240531,-55.46452,-17.718096,2
194301,-23.531265,-88.628914,2
277607,-2.8210995,93.07993,2
300443,-105.65769,-74.030624,2
67805,89.60659,-20.884146,3
68224,63.649723,-36.28448,1
163895,19.483864,-90.77808,1
14056,69.515785,35.441963,3
78810,16.31186,23.86447,1
77531,23.25498,4.99771,1
114741,46.025574,-40.537716,1
293722,-110.21713,-34.448845,2
110968,25.869492,-31.276386,1
243127,-26.815052,63.345253,2
75597,50.91263,-25.321396,1
199441,-28.519548,-74.03922,1
219114,-42.461372,38.358418,2
230983,-68.708115,23.433582,2
236172,-62.443512,-64.84702,2
30034,81.83539,24.763199,3
87266,83.646774,-35.120316,1
155206,-29.225527,-27.31871,2
4847,71.56285,67.84362,5
52938,86.087105,-22.651838,3
185335,17.73235,83.835396,4
151225,39.28549,-69.87651,1
197200,-57.87476,30.977661,2
143355,19.05535,-93.78882,1
